0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:30 +0900] "GET / HTTP/1.1" 200 11322
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:30 +0900] "GET /resources/image/main/banner1.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:30 +0900] "GET /resources/image/main/banner2.jpg HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:33 +0900] "GET /qna/list HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:35 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6436
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:46 +0900] "GET /GetQnaListCtrl.do HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:57 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:57 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:58 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:58 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:58 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:47:59 +0900] "GET /qna/list HTTP/1.1" 200 11120
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:00 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6428
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:01 +0900] "GET /qna/detail?qno=11 HTTP/1.1" 200 6429
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:02 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:15 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:16 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:16 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:16 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:16 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:16 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [09/Jan/2023:10:48:17 +0900] "GET /qna/aWrite.do?qno=11 HTTP/1.1" 200 6743
